id,tool,rule,path,line,message
S01,Native CodeQL,cs/zipslip,Assets/Scripts/Storage/FileImportManager.IO.cs,82,"Unsanitized archive entry, which may contain '..', is used in a [file system operation](1)."
S01,Native CodeQL,cs/path-combine,Assets/Scripts/Storage/FileImportManager.IO.cs,35,Call to 'System.IO.Path.Combine' may silently drop its earlier arguments.
S01,Native CodeQL,cs/path-combine,Assets/Scripts/Storage/FileImportManager.IO.cs,82,Call to 'System.IO.Path.Combine' may silently drop its earlier arguments.
S01,Native CodeQL,cs/path-combine,Assets/Scripts/Storage/FileImportManager.IO.cs,249,Call to 'System.IO.Path.Combine' may silently drop its earlier arguments.
S01,Native CodeQL,cs/path-combine,Assets/Scripts/Storage/FileImportManager.IO.cs,282,Call to 'System.IO.Path.Combine' may silently drop its earlier arguments.
S01,Native CodeQL,cs/path-combine,Assets/Scripts/Storage/FileImportManager.IO.cs,333,Call to 'System.IO.Path.Combine' may silently drop its earlier arguments.
S01,Native CodeQL,cs/dereferenced-value-may-be-null,Assets/Scripts/Storage/FileImportManager.IO.cs,317,Variable [storage](1) may be null at this access because of [this](2) assignment.
S01,Native CodeQL,cs/useless-assignment-to-local,Assets/Scripts/Compose/Macros/MacroLuaEnvironment.cs,66,"This assignment to [script](1) is useless, since its value is never read."
S01,Native CodeQL,cs/catch-of-all-exceptions,Assets/Scripts/Compose/Macros/MacroLuaEnvironment.cs,79,Generic catch clause.
S01,Native CodeQL,cs/catch-of-all-exceptions,Assets/Scripts/Compose/Macros/MacroLuaEnvironment.cs,171,Generic catch clause.
S01,Native CodeQL,cs/catch-of-all-exceptions,Assets/Scripts/Compose/Macros/MacroLuaEnvironment.cs,236,Generic catch clause.
S01,Native CodeQL,cs/catch-of-all-exceptions,Assets/Scripts/Storage/FileImportManager.IO.cs,51,Generic catch clause.
S01,Native CodeQL,cs/catch-of-all-exceptions,Assets/Scripts/Storage/FileImportManager.IO.cs,101,Generic catch clause.
S01,Native CodeQL,cs/catch-of-all-exceptions,Assets/Scripts/Storage/FileImportManager.IO.cs,322,Generic catch clause.
S01,Native CodeQL,cs/test-for-negative-container-size,Assets/Scripts/Storage/FileImportManager.IO.cs,167,"This expression is always true, since a collection can never have negative size."
S01,Native CodeQL,cs/equality-on-floats,Assets/Scripts/Storage/FileImportManager.IO.cs,312,Equality checks on floating point values can yield unexpected results.
S01,Native CodeQL,cs/inefficient-containskey,Assets/Scripts/Compose/Macros/MacroLuaEnvironment.cs,275,Inefficient use of 'ContainsKey' and [indexer](1).
S02,Native CodeQL,cs/path-combine,engines/unity/Assets/Scripts/LevelManager.cs,210,Call to 'System.IO.Path.Combine' may silently drop its earlier arguments.
S02,Native CodeQL,cs/path-combine,engines/unity/Assets/Scripts/LevelManager.cs,321,Call to 'System.IO.Path.Combine' may silently drop its earlier arguments.
S02,Native CodeQL,cs/comparison-of-identical-expressions,engines/unity/Assets/Scripts/LevelManager.cs,53,Comparison of identical values.
S02,Native CodeQL,cs/comparison-of-identical-expressions,engines/unity/Assets/Scripts/LevelManager.cs,102,Comparison of identical values.
S02,Native CodeQL,cs/useless-assignment-to-local,engines/unity/Assets/Scripts/LevelManager.cs,307,"This assignment to [entry](1) is useless, since its value is never read."
S02,Native CodeQL,cs/catch-of-all-exceptions,engines/unity/Assets/Scripts/LevelManager.cs,77,Generic catch clause.
S02,Native CodeQL,cs/catch-of-all-exceptions,engines/unity/Assets/Scripts/LevelManager.cs,129,Generic catch clause.
S02,Native CodeQL,cs/catch-of-all-exceptions,engines/unity/Assets/Scripts/LevelManager.cs,140,Generic catch clause.
S02,Native CodeQL,cs/catch-of-all-exceptions,engines/unity/Assets/Scripts/LevelManager.cs,154,Generic catch clause.
S02,Native CodeQL,cs/catch-of-all-exceptions,engines/unity/Assets/Scripts/LevelManager.cs,230,Generic catch clause.
S02,Native CodeQL,cs/catch-of-all-exceptions,engines/unity/Assets/Scripts/LevelManager.cs,265,Generic catch clause.
S02,Native CodeQL,cs/catch-of-all-exceptions,engines/unity/Assets/Scripts/LevelManager.cs,277,Generic catch clause.
S02,Native CodeQL,cs/catch-of-all-exceptions,engines/unity/Assets/Scripts/LevelManager.cs,288,Generic catch clause.
S02,Native CodeQL,cs/catch-of-all-exceptions,engines/unity/Assets/Scripts/LevelManager.cs,312,Generic catch clause.
S02,Native CodeQL,cs/catch-of-all-exceptions,engines/unity/Assets/Scripts/LevelManager.cs,342,Generic catch clause.
S02,Native CodeQL,cs/catch-of-all-exceptions,engines/unity/Assets/Scripts/LevelManager.cs,366,Generic catch clause.
S02,Native CodeQL,cs/catch-of-all-exceptions,engines/unity/Assets/Scripts/LevelManager.cs,383,Generic catch clause.
S02,Native CodeQL,cs/catch-of-all-exceptions,engines/unity/Assets/Scripts/LevelManager.cs,639,Generic catch clause.
S02,Native CodeQL,cs/catch-of-all-exceptions,engines/unity/Assets/Scripts/LevelManager.cs,466,Generic catch clause.
