编号,发布时间,危害等级,CWE映射,产品,描述,链接
CVE-2025-6350,,,,,WP VR – 360 全景和免费虚拟旅游构建器 WordPress 插件因输入净化和输出逃逸不足，在所有版本（包括 8.5.32）中都可能通过“hotspot-hover”参数受到存储跨站脚本攻击。这使得经过认证的攻击者（贡献者级别及以上权限）能够在页面中注入任意网页脚本，每当用户访问注入页面时就会执行。,
CVE-2025-5936,,,,,WordPress 的 VR 日历插件在所有版本（直到 2.4.7）中都存在跨站请求伪造的风险。这是因为 syncCalendar（） 函数缺少或错误的 nonce 验证。这使得未认证的攻击者可以通过伪造请求触发日历同步，从而诱使网站管理员执行诸如点击链接等操作。,
CVE-2025-12005,,,,,WP VR – 360 全景及免费虚拟旅游构建器 WordPress 插件存在未经授权的数据访问，直到 8.5.41 版本。这是因为插件未能正确验证用户是否有权限执行某项操作。这使得经过认证的攻击者（贡献者级别及以上权限）能够修改敏感的插件选项。,
CVE-2025-0861,,,,,WordPress 的 VR-Frases（收集并分享报价）插件在所有版本（包括 3.0.1）中都因用户提供的参数逃逸不足以及对现有 SQL 查询准备不足，存在多个参数的漏洞，直到 3.0.1。这使得未经认证的攻击者能够在已有查询中附加额外的 SQL 查询，从而从数据库中提取敏感信息。,
CVE-2025-0860,,,,,WordPress 的 VR-Frases（收集并分享引用）插件在所有版本（包括 3.0.1）中，由于输入净化和输出逃逸不足，存在多个参数，易受反射跨站脚本攻击。这使得未经认证的攻击者能够在页面中注入任意的网页脚本，如果他们成功诱骗用户执行诸如点击链接等动作，脚本就会执行。CVE-2025-22636 似乎是该问题的重复版本。,
CVE-2024-50414,,,,,在网页生成过程中输入中和不当（“跨站脚本”）漏洞，在按钮按钮接触 VR 按钮-接触-VR 中允许存储 XSS。这个问题影响了按钮接触 VR：从不该看到<= 4.7.9.1。,
CVE-2024-49680,,,,,RexTheme WP VR wpvr 中缺少授权漏洞，允许利用错误配置的访问控制安全级别。此问题影响 WP VR：从不该 < = 8.5.5。,
CVE-2024-44013,,,,,Innate Images LLC VR Calendar vr-calendar-sync 中路径名对受限目录（“路径穿越”）的不当限制漏洞允许包含 PHP 本地文件。此问题影响 VR 日历：从该日期到 <= 2.4.0。,
CVE-2024-43347,,,,,在 VirusTran 按钮接触 VR 中，网页生成过程中输入中和不当（XSS 或“跨站脚本”）漏洞允许存储 XSS。这个问题影响了 Button Contact VR：从不该看到 4.7.3。,
CVE-2024-42366,,,,,VRCX 是 VRChat 的一个辅助/配套应用。在 2024.03.23 版本之前，可以结合带有 over 权限和跨站脚本（通过覆盖通知实现）的 CefSharp 浏览器实现远程命令执行。这些漏洞已在 VRCX 2023.12.24 中得到修补。除了补丁外，VRCX 的维护者还与 VRC 团队合作，在 VRC 的 API 端屏蔽了旧版 VRCX。使用旧版 VRCX 的用户必须更新安装以继续使用 VRCX。,
CVE-2024-2220,,,,,Button contact VR WordPress 插件 4.7 版本无法净化和逃逸部分设置，这可能导致高权限用户（如管理员）即使在禁止 unfiltered_html 功能（例如多站点设置时）仍能执行存储跨站脚本攻击,
CVE-2024-13626,,,,,VR-Frases（收集并分享引用）WordPress 插件（3.0.1 版本）不会在输出回页面前对参数进行净化和逃逸，导致反射跨站脚本，可能被用于对付高权限用户（如管理员）。,
CVE-2023-6529,,,,,WP VR 8.3.15 之前的 WordPress 插件在挂钩 admin_init 的功能中不支持授权和 CSRF，允许未认证用户降级插件，从而导致反射或存储 XSS，因为之前的版本存在此类漏洞。,
CVE-2022-1196,,,,,在 VR 进程被销毁后，可能保留并使用了对它的引用，导致 use-free 后崩溃，且可能被利用。该漏洞影响 Thunderbird < 91.8和Firefox ESR < 91.8。,
